id,name,type,desc,atk,def,level,race,attribute,archetype,image_url,image_path,simplified_type,image_id
72989439,Black Luster Soldier - Envoy of the Beginning,Effect Monster,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT and 1 DARK monster from your GY. Once per turn, you can activate 1 of these effects.
● Target 1 monster on the field; banish it. This card cannot attack the turn this effect is activated.
● If this attacking card destroys an opponent's monster by battle: It can make a second attack in a row.",3000,2500,8,Warrior,LIGHT,Black Luster Soldier,https://images.ygoprodeck.com/images/cards_cropped/72989439.jpg,training_data_final/training_images/72989439.jpg,effect monster,72989439.jpg
17540705,Performapal Dag Daggerman,Pendulum Effect Monster,"[ Pendulum Effect ] 
During your Main Phase, if this card was activated this turn: You can target 1 ""Performapal"" monster in your Graveyard; add it to your hand. You can only use this effect of ""Performapal Dag Daggerman"" once per turn.
[ Monster Effect ] 
During your Main Phase, if this card was Pendulum Summoned this turn: You can send 1 ""Performapal"" monster from your hand to the Graveyard; draw 1 card. You can only use this effect of ""Performapal Dag Daggerman"" once per turn.",2000,600,5,Warrior,EARTH,Performapal,https://images.ygoprodeck.com/images/cards_cropped/17540705.jpg,training_data_final/training_images/17540705.jpg,effect monster,17540705.jpg
3534077,Coach Soldier Wolfbark,Effect Monster,"You can target 1 Level 4 FIRE Beast-Warrior-Type monster in your Graveyard; Special Summon it in face-up Defense Position. Its effects are negated. You can only use the effect of ""Coach Soldier Wolfbark"" once per turn.",1600,1200,4,Beast-Warrior,FIRE,Unknown,https://images.ygoprodeck.com/images/cards_cropped/3534077.jpg,training_data_final/training_images/3534077.jpg,effect monster,3534077.jpg
23857661,Bujingi Fox,Effect Monster,"During either player's turn: You can banish this card from your Graveyard and send 1 ""Bujin"" monster from your hand to the Graveyard; you take no damage this turn.",200,2100,4,Beast,LIGHT,Bujin,https://images.ygoprodeck.com/images/cards_cropped/23857661.jpg,training_data_final/training_images/23857661.jpg,effect monster,23857661.jpg
50457953,Mythic Tree Dragon,Effect Monster,Once per turn: You can target 1 WATER Dragon-Type monster you control; this card's Level becomes the current Level of that monster.,100,1400,4,Dragon,EARTH,Unknown,https://images.ygoprodeck.com/images/cards_cropped/50457953.jpg,training_data_final/training_images/50457953.jpg,effect monster,50457953.jpg
59290628,Nightmare Horse,Effect Monster,This card can attack your opponent's Life Points directly even if there is a monster on your opponent's side of the field.,500,400,2,Zombie,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/59290628.jpg,training_data_final/training_images/59290628.jpg,effect monster,59290628.jpg
31764700,Yubel - The Ultimate Nightmare,Effect Monster,"Cannot be Normal Summoned or Set. Must be Special Summoned by ""Yubel - Terror Incarnate"", and cannot be Special Summoned by other ways. This card cannot be destroyed by battle. You take no Battle Damage from battles involving this card. At the end of the Damage Step, if this face-up Attack Position card battles an opponent's monster: Inflict damage equal to that monster's ATK to your opponent, also destroy that monster.",0,0,12,Fiend,DARK,Yubel,https://images.ygoprodeck.com/images/cards_cropped/31764700.jpg,training_data_final/training_images/31764700.jpg,effect monster,31764700.jpg
10802915,Tour Guide From the Underworld,Effect Monster,"When this card is Normal Summoned: You can Special Summon 1 Level 3 Fiend monster from your hand or Deck, but negate its effects, also it cannot be used as Synchro Material.",1000,600,3,Fiend,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/10802915.jpg,training_data_final/training_images/10802915.jpg,effect monster,10802915.jpg
74576482,Koa'ki Meiru Sea Panther,Effect Monster,"During each of your End Phases, destroy this card unless you send 1 ""Iron Core of Koa'ki Meiru"" from your hand to the Graveyard or reveal 1 WATER monster in your hand. Once per turn, you can send 1 ""Iron Core of Koa'ki Meiru"" from your hand to the Graveyard to return 1 Spell Card from your Graveyard to the top of your Deck.",1900,1200,4,Sea Serpent,WATER,Koa'ki Meiru,https://images.ygoprodeck.com/images/cards_cropped/74576482.jpg,training_data_final/training_images/74576482.jpg,effect monster,74576482.jpg
57036718,Zubaba Buster,Effect Monster,"If this card inflicts battle damage to your opponent, at the end of that Damage Step: Destroy the 1 face-up monster on the field that has the lowest ATK (your choice, if tied), and if you do, this card loses 800 ATK.",1800,600,3,Warrior,EARTH,Unknown,https://images.ygoprodeck.com/images/cards_cropped/57036718.jpg,training_data_final/training_images/57036718.jpg,effect monster,57036718.jpg
66431519,Sacred Fire King Garunix,Effect Monster,"If your monster(s) that was originally FIRE is destroyed by battle or card effect: You can Special Summon this card from your GY (if it was there when the monster was destroyed) or hand (even if not). If this card is Normal or Special Summoned: You can destroy 1 FIRE Beast, Beast-Warrior, or Winged Beast monster in your hand, Deck, or face-up field, except ""Sacred Fire King Garunix"", and if you do, this card gains ATK equal to half the destroyed monster's ATK it had there, until the end of this turn. You can only use each effect of ""Sacred Fire King Garunix"" once per turn.",2700,1700,8,Winged Beast,FIRE,Fire King,https://images.ygoprodeck.com/images/cards_cropped/66431519.jpg,training_data_final/training_images/66431519.jpg,effect monster,66431519.jpg
36736723,Rush Warrior,Effect Monster,"During damage calculation (in either player's turn), if a ""Warrior"" Synchro Monster you control battles an opponent's monster: You can send this card from your hand to the Graveyard; your battling monster's ATK becomes double its current ATK during that damage calculation only. You can banish this card from your Graveyard, then target 1 ""Synchron"" monster in your Graveyard; add it to your hand. You can only use each effect of ""Rush Warrior"" once per turn.",300,1200,2,Warrior,WIND,Unknown,https://images.ygoprodeck.com/images/cards_cropped/36736723.jpg,training_data_final/training_images/36736723.jpg,effect monster,36736723.jpg
46593546,D/D/D Deviser King Deus Machinex,XYZ Pendulum Effect Monster,"[ Pendulum Effect ] 
While you have a card in your other Pendulum Zone: You can target 1 Pendulum Monster you control or in your GY; Special Summon the card in your other Pendulum Zone, and if you do, place that targeted Pendulum Monster in your Pendulum Zone. You can only use this effect of ""D/D/D Deviser King Deus Machinex"" once per turn.
[ Monster Effect ] 
2 Level 10 Fiend monsters
You can also Xyz Summon this card by using a ""D/D/D"" monster you control as material. (Transfer its materials to this card.) You can only control 1 ""D/D/D Deviser King Deus Machinex"" in your Monster Zone. Once per Chain, when a Monster Card your opponent controls activates its effect (Quick Effect): You can either detach 2 materials from this card, or destroy 1 ""Dark Contract"" card you control, and if you do, attach that opponent's card to this card as material. Once per turn, during your Standby Phase: You can place this card in your Pendulum Zone.",3000,3000,10,Fiend,DARK,D/D,https://images.ygoprodeck.com/images/cards_cropped/46593546.jpg,training_data_final/training_images/46593546.jpg,effect monster,46593546.jpg
61391302,Odd-Eyes Advance Dragon,Effect Monster,"You can Tribute Summon this card by Tributing 1 Level 5 or higher monster. If this card is Tribute Summoned: You can destroy 1 monster your opponent controls, and if you do, inflict damage to your opponent equal to that monster's original ATK. When this card destroys a monster by battle: You can Special Summon 1 Level 5 or higher monster from your hand or GY in Defense Position, except ""Odd-Eyes Advance Dragon"". You can only use this effect of ""Odd-Eyes Advance Dragon"" once per turn.",3000,2500,8,Dragon,DARK,Odd-Eyes,https://images.ygoprodeck.com/images/cards_cropped/61391302.jpg,training_data_final/training_images/61391302.jpg,effect monster,61391302.jpg
91350799,Madolche Hootcake,Effect Monster,"When this card in your possession is destroyed by your opponent's card (either by battle or by card effect) and sent to your Graveyard: Shuffle this card into the Deck. You can target 1 monster in your Graveyard; banish it, and if you do, Special Summon 1 ""Madolche"" monster from your Deck, except ""Madolche Hootcake"". You can only use this effect of ""Madolche Hootcake"" once per turn.",1500,1100,3,Beast,EARTH,Madolche,https://images.ygoprodeck.com/images/cards_cropped/91350799.jpg,training_data_final/training_images/91350799.jpg,effect monster,91350799.jpg
80367387,Koa'ki Meiru Bergzak,Effect Monster,"During each of your End Phases, destroy this card unless you send 1 ""Iron Core of Koa'ki Meiru"" from your hand to the Graveyard or reveal 1 Warrior-Type monster in your hand. If this card destroys an opponent's monster by battle, it can attack once again in a row.",2000,200,4,Warrior,EARTH,Koa'ki Meiru,https://images.ygoprodeck.com/images/cards_cropped/80367387.jpg,training_data_final/training_images/80367387.jpg,effect monster,80367387.jpg
86976918,Speedroid Ultra Hound,Effect Monster,"When this card is Normal Summoned: You can send 1 ""Speedroid"" card from your Deck to the GY. During your Main Phase, except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 ""Speedroid"" monster in your GY; shuffle it into the Deck, and if you do, Special Summon 1 ""Speedroid"" Synchro Monster from your Extra Deck with the same Level but a different name, but negate its effects. You can only use this effect of ""Speedroid Ultra Hound"" once per turn.",800,800,3,Machine,WIND,Speedroid,https://images.ygoprodeck.com/images/cards_cropped/86976918.jpg,training_data_final/training_images/86976918.jpg,effect monster,86976918.jpg
66733743,T.G. Metal Skeleton,Effect Monster,"If a monster(s) on the field is destroyed by battle or an opponent's card effect: You can Special Summon this card from your hand. If a ""T.G."" monster(s) you control would be destroyed by battle or card effect, you can banish this card from your field or GY instead. You can only use each effect of ""T.G. Metal Skeleton"" once per turn.",1100,0,2,Zombie,DARK,T.G.,https://images.ygoprodeck.com/images/cards_cropped/66733743.jpg,training_data_final/training_images/66733743.jpg,effect monster,66733743.jpg
759393,Hiita the Fire Charmer,Flip Effect Monster,FLIP: Target 1 face-up FIRE monster your opponent controls; take control of that target while this card is face-up on the field.,500,1500,3,Spellcaster,FIRE,Charmer,https://images.ygoprodeck.com/images/cards_cropped/759393.jpg,training_data_final/training_images/759393.jpg,effect monster,759393.jpg
78004197,"Goldd, Wu-Lord of Dark World",Effect Monster,"If this card is discarded to the Graveyard by a card effect: If it was discarded from your hand to your Graveyard by an opponent's card effect, you can target up to 2 cards your opponent controls; Special Summon this card from the Graveyard, then destroy those targets (if any).",2300,1400,5,Fiend,DARK,Dark World,https://images.ygoprodeck.com/images/cards_cropped/78004197.jpg,training_data_final/training_images/78004197.jpg,effect monster,78004197.jpg
53944920,Genex Furnace,Effect Monster,"If you control a face-up ""Genex Controller"", you can Normal Summon this card without Tributing.",2000,1300,5,Pyro,FIRE,Genex,https://images.ygoprodeck.com/images/cards_cropped/53944920.jpg,training_data_final/training_images/53944920.jpg,effect monster,53944920.jpg
66675911,Nehshaddoll Genius,Flip Effect Monster,"FLIP: You can target 1 ""Shaddoll"" monster you control; that face-up monster is unaffected by monster effects this turn, except its own.
If this card is sent to the GY by card effect: You can target 1 Effect Monster on the field; neither player can activate that target's effects on the field this turn. You can only use 1 ""Nehshaddoll Genius"" effect per turn, and only once that turn.",1800,1000,4,Machine,EARTH,Shaddoll,https://images.ygoprodeck.com/images/cards_cropped/66675911.jpg,training_data_final/training_images/66675911.jpg,effect monster,66675911.jpg
31772684,Vendread Revenants,Effect Monster,"If this card in your possession is destroyed by an opponent's card (by battle or card effect) and sent to your GY: You can Special Summon this card, but banish it when it leaves the field. A ""Vendread"" monster Ritual Summoned using this card on the field gains this effect. You can only use the preceding effect of ""Vendread Revenants"" once per turn.
● Once per turn (Quick Effect): You can target 1 Special Summoned monster your opponent controls; banish it.",1800,200,4,Zombie,DARK,Vendread,https://images.ygoprodeck.com/images/cards_cropped/31772684.jpg,training_data_final/training_images/31772684.jpg,effect monster,31772684.jpg
57940938,Firewall Phantom,Effect Monster,"If this card is sent to the GY as material for the Link Summon of a Cyberse monster: You can add 1 ""Cynet"" Spell/Trap from your Deck to your hand, then discard 1 card. You can banish this card from your GY; during the End Phase of this turn, shuffle 1 Cyberse monster from your GY into the Deck. You can only use each effect of ""Firewall Phantom"" once per turn.",2000,1300,5,Cyberse,DARK,Firewall,https://images.ygoprodeck.com/images/cards_cropped/57940938.jpg,training_data_final/training_images/57940938.jpg,effect monster,57940938.jpg
59762399,Performapal Odd-Eyes Light Phoenix,Pendulum Effect Monster,"[ Pendulum Effect ] 
When an opponent's monster declares a direct attack while you have a card in your other Pendulum Zone: You can destroy the card in your other Pendulum Zone, and if you do, Special Summon this card.
[ Monster Effect ] 
(Quick Effect): You can Tribute this card, then target 1 ""Performapal"" monster you control; it gains 1000 ATK until the end of this turn.",2000,1000,5,Winged Beast,LIGHT,Odd-Eyes,https://images.ygoprodeck.com/images/cards_cropped/59762399.jpg,training_data_final/training_images/59762399.jpg,effect monster,59762399.jpg
18940725,Floowandereeze & Robina,Effect Monster,"If this face-up card would leave the field, banish it instead. You can only use each of the following effects of ""Floowandereeze & Robina"" once per turn, and cannot Special Summon during the turn you activate either effect. If this card is Normal Summoned: You can add 1 Level 4 or lower Winged Beast monster from your Deck to your hand, then immediately after this effect resolves, you can Normal Summon 1 Winged Beast monster. If a Winged Beast monster is Normal Summoned to your field while this card is banished: You can add this card to your hand.",600,1200,1,Winged Beast,WATER,Floowandereeze,https://images.ygoprodeck.com/images/cards_cropped/18940725.jpg,training_data_final/training_images/18940725.jpg,effect monster,18940725.jpg
18859369,Chaos Grepher,Effect Monster,"While face-up on the field, this card is also DARK-Attribute. You can discard 1 LIGHT or DARK monster; send 1 LIGHT or DARK monster with a different Attribute from your Deck to the GY, but for the rest of this turn, you cannot Special Summon monsters with the same name the sent monster had in the GY. You can only use this effect of ""Chaos Grepher"" once per turn.",1700,1600,4,Warrior,LIGHT,Chaos,https://images.ygoprodeck.com/images/cards_cropped/18859369.jpg,training_data_final/training_images/18859369.jpg,effect monster,18859369.jpg
28954097,Mirror Swordknight,Effect Monster,"If this card battles a monster, neither can be destroyed by that battle. You can only use each of the following effects of ""Mirror Swordknight"" once per turn. (Quick Effect): You can Tribute this card; Special Summon 1 monster from your Deck that mentions ""Chimera Fusion"", except ""Mirror Swordknight"". When a monster your opponent controls activates its effect, while you control ""Chimera the Flying Mythical Beast"" (Quick Effect): You can banish this card from your field or GY; negate that effect.",1900,300,4,Illusion,LIGHT,Unknown,https://images.ygoprodeck.com/images/cards_cropped/28954097.jpg,training_data_final/training_images/28954097.jpg,effect monster,28954097.jpg
96352326,Eda the Sun Magician,Effect Monster,"If this card is Normal Summoned or flipped face-up: You can Special Summon 1 Spellcaster monster with 1500 DEF from your hand or Deck in face-down Defense Position, except ""Eda the Sun Magician"". During your opponent's Main Phase (Quick Effect): You can change 1 face-down Spellcaster monster you control to face-up Attack or Defense Position. You can only use each effect of ""Eda the Sun Magician"" once per turn.",1500,1500,4,Spellcaster,EARTH,Magician,https://images.ygoprodeck.com/images/cards_cropped/96352326.jpg,training_data_final/training_images/96352326.jpg,effect monster,96352326.jpg
60950180,Raidraptor - Sharp Lanius,Effect Monster,"Once per turn, during your Main Phase, if this card was Normal or Special Summoned this turn: You can target 1 face-up Attack Position monster on the field; change it to face-up Defense Position. During your Main Phase 2, if this card attacked this turn: You can target 1 ""Raidraptor"" monster in your Graveyard; Special Summon it. You can only use this effect of ""Raidraptor - Sharp Lanius"" once per turn.",1700,1000,4,Winged Beast,DARK,Raidraptor,https://images.ygoprodeck.com/images/cards_cropped/60950180.jpg,training_data_final/training_images/60950180.jpg,effect monster,60950180.jpg
69831560,Arcana Force EX - The Dark Ruler,Effect Monster,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 3 monsters you control to the Graveyard, and cannot be Special Summoned by other ways. When this card is Special Summoned: Toss a coin and gain the appropriate effect.
● Heads: This card can make a second attack during each Battle Phase, but if it does so using this effect, change it to Defense Position at the end of the Battle Phase. Its battle position cannot be changed until the end of your next turn.
● Tails: If this card is destroyed, destroy all cards on the field.",4000,4000,10,Fairy,LIGHT,Arcana Force,https://images.ygoprodeck.com/images/cards_cropped/69831560.jpg,training_data_final/training_images/69831560.jpg,effect monster,69831560.jpg
5177985,Shiranui Swordmaster,Effect Monster,"If this card is in your GY and you control 2 or more ""Shiranui"" monsters with different names: You can Special Summon this card, but banish it when it leaves the field. If this card is banished: You can target 1 Zombie monster you control; it gains 600 ATK until the end of this turn. You can only use each effect of ""Shiranui Swordmaster"" once per turn.",600,0,2,Zombie,FIRE,Shiranui,https://images.ygoprodeck.com/images/cards_cropped/5177985.jpg,training_data_final/training_images/5177985.jpg,effect monster,5177985.jpg
27015862,Veda Kalanta,Effect Monster,"If a card(s) on the field is destroyed by card effect, and ""Visas Starfrost"" is on the field (except during the Damage Step): You can Special Summon this card from your hand, then you can add 1 ""Clear New World"" from your Deck or GY to your hand. If another monster(s) in your possession is destroyed by card effect (except during the Damage Step): You can target 1 monster your opponent controls; destroy it, and if you do, this card gains ATK equal to that monster's original ATK, until the end of this turn. You can only use each effect of ""Veda Kalanta"" once per turn.",2500,2100,8,Warrior,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/27015862.jpg,training_data_final/training_images/27015862.jpg,effect monster,27015862.jpg
27911549,Parasite Paracide,Flip Effect Monster,"FLIP: Put this card face-up in your opponent's Deck and shuffle it. When your opponent draws this card, it is Special Summoned to their side of the field in face-up Defense Position, and inflicts 1000 damage to them. Then, while this card is face-up on the field, all monsters your opponent controls become Insect-Type monsters.",500,300,2,Insect,EARTH,Parasite,https://images.ygoprodeck.com/images/cards_cropped/27911550.jpg,training_data_final/training_images/27911550.jpg,effect monster,27911550.jpg
80959027,Mythical Beast Bashilisk,Pendulum Effect Monster,"[ Pendulum Effect ] 
If you have no card in your other Pendulum Zone: You can destroy this card, and if you do, shuffle 1 face-up Spellcaster Pendulum Monster from your Extra Deck into your Main Deck, except ""Mythical Beast Bashilisk"", then draw 1 card. You can only use this effect of ""Mythical Beast Bashilisk"" once per turn.
[ Monster Effect ] 
Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. You can remove 3 Spell Counters from your field; return 1 ""Mythical Beast"" card from your Pendulum Zone or face-up from your Extra Deck to the hand. You can only use this effect of ""Mythical Beast Bashilisk"" once per turn.",1800,500,4,Spellcaster,LIGHT,Mythical Beast,https://images.ygoprodeck.com/images/cards_cropped/80959027.jpg,training_data_final/training_images/80959027.jpg,effect monster,80959027.jpg
55623480,Fairy Tail - Snow,Effect Monster,"If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; change it to face-down Defense Position. If this card is in your GY (Quick Effect): You can banish 7 other cards from your hand, field, and/or GY; Special Summon this card.",1850,1000,4,Spellcaster,LIGHT,Unknown,https://images.ygoprodeck.com/images/cards_cropped/55623480.jpg,training_data_final/training_images/55623480.jpg,effect monster,55623480.jpg
95886782,ZW - Sylphid Wing,Effect Monster,"You can only control 1 ""ZW - Sylphid Wing"". You can target 1 ""Utopia"" monster you control; equip this card from your hand or field to it. It gains 800 ATK. Once per turn, if a monster(s) is Special Summoned by your opponent's activated effect: You can make the equipped monster gain 1600 ATK. (This ATK gain remains even if this card leaves the field or the monster becomes unaffected by card effects.) If you activate the equipped monster's effect by detaching its material, you can send this card to the GY instead of 1 of those materials.",800,1600,4,Beast,LIGHT,Zexal,https://images.ygoprodeck.com/images/cards_cropped/95886782.jpg,training_data_final/training_images/95886782.jpg,effect monster,95886782.jpg
36733451,Dimensional Alchemist,Effect Monster,"Once per turn, you can activate this effect to remove from play the top card of your Deck and give this card 500 ATK until the End Phase. When this card is destroyed and sent from your side of the field to your Graveyard, you can select 1 of your removed from play monsters and return it to your hand.",1300,200,4,Fairy,LIGHT,Unknown,https://images.ygoprodeck.com/images/cards_cropped/36733451.jpg,training_data_final/training_images/36733451.jpg,effect monster,36733451.jpg
77411244,B-Buster Drake,Union Effect Monster,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's Spell effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 Union monster from your Deck to your hand.",1500,1800,4,Machine,LIGHT,ABC,https://images.ygoprodeck.com/images/cards_cropped/77411244.jpg,training_data_final/training_images/77411244.jpg,effect monster,77411244.jpg
61089209,Myutant Mist,Effect Monster,"Cannot be Special Summoned, except with the effect of a ""Myutant"" card. Your opponent cannot target this card with Spell effects. You can only use each of the following effects of ""Myutant Mist"" once per turn. When your opponent activates a Trap Card or effect (Quick Effect): You can banish 1 card from your hand or field; draw 2 cards. If this card in its owner's possession is destroyed by an opponent's card: You can target 1 of your banished ""Myutant"" monsters; add it to your hand.",2700,2900,8,Spellcaster,WIND,Myutant,https://images.ygoprodeck.com/images/cards_cropped/61089209.jpg,training_data_final/training_images/61089209.jpg,effect monster,61089209.jpg
83986578,King Tiger Wanghu,Effect Monster,When a monster(s) with 1400 or less ATK is Normal Summoned or Special Summoned: Destroy those monsters with 1400 or less ATK. This card must be face-up on the field to activate and to resolve this effect.,1700,1000,4,Beast,EARTH,Unknown,https://images.ygoprodeck.com/images/cards_cropped/83986578.jpg,training_data_final/training_images/83986578.jpg,effect monster,83986578.jpg
97947705,Backup Operator,Effect Monster,"You can target 1 face-up monster that a Link Monster you control points to; Special Summon this card from your hand, and if you do, return that monster to the hand. If Special Summoned this way, banish this card when it leaves the field. You can only use this effect of ""Backup Operator"" once per turn.",1200,800,3,Cyberse,LIGHT,Unknown,https://images.ygoprodeck.com/images/cards_cropped/97947705.jpg,training_data_final/training_images/97947705.jpg,effect monster,97947705.jpg
40659562,Guardian Sphinx,Effect Monster,Once per turn: You can change this card to face-down Defense Position. When this card is Flip Summoned: Return all monsters your opponent controls to the hand.,1700,2400,5,Rock,EARTH,Sphinx,https://images.ygoprodeck.com/images/cards_cropped/40659562.jpg,training_data_final/training_images/40659562.jpg,effect monster,40659562.jpg
92609670,Heroic Challenger - Ambush Soldier,Effect Monster,"During your Standby Phase: You can Tribute this card; Special Summon up to 2 ""Heroic Challenger"" monsters from your hand and/or Graveyard, except ""Heroic Challenger - Ambush Soldier"". You can only use this effect of ""Heroic Challenger - Ambush Soldier"" once per turn. When you do: You can banish this card from your Graveyard; make all ""Heroic Challenger"" monsters you currently control become Level 1.",0,0,1,Warrior,EARTH,Heroic,https://images.ygoprodeck.com/images/cards_cropped/92609670.jpg,training_data_final/training_images/92609670.jpg,effect monster,92609670.jpg
80925836,Koa'ki Meiru Doom,Effect Monster,"During each of your End Phases, destroy this card unless you send 1 ""Iron Core of Koa'ki Meiru"" from your hand to the Graveyard or reveal 1 Fiend-Type monster in your hand. Negate the effects of LIGHT and DARK monsters that activate during the Main Phase.",1700,800,3,Fiend,WIND,Koa'ki Meiru,https://images.ygoprodeck.com/images/cards_cropped/80925836.jpg,training_data_final/training_images/80925836.jpg,effect monster,80925836.jpg
17170970,Armored White Bear,Effect Monster,"If this card is Normal or Special Summoned while a Synchro Monster is on the field: You can target 1 Field Spell in your GY; add it to your hand. If this card is destroyed by battle and sent to the GY, or if this card in your possession is destroyed by an opponent's card effect and sent to your GY: You can Special Summon 1 Level 4 or lower Beast monster from your Deck or GY, except ""Armored White Bear"". You can only use each effect of ""Armored White Bear"" once per turn.",1800,1400,4,Beast,WATER,Unknown,https://images.ygoprodeck.com/images/cards_cropped/17170970.jpg,training_data_final/training_images/17170970.jpg,effect monster,17170970.jpg
91098230,Ancient Gear Tanker,Effect Monster,"If this card is Normal or Special Summoned: You can Special Summon 1 ""Ancient Gear"" monster from your hand, except ""Ancient Gear Tanker"", ignoring its Summoning conditions, or, if your opponent controls a monster, you can Special Summon from your GY instead. You can target 1 face-up card you control; destroy it, also for the rest of this turn, all monsters you control that are ""Ancient Gear Golem"", or mention it, gain 600 ATK. You can only use each effect of ""Ancient Gear Tanker"" once per turn.",1300,1300,4,Machine,EARTH,Ancient Gear,https://images.ygoprodeck.com/images/cards_cropped/91098230.jpg,training_data_final/training_images/91098230.jpg,effect monster,91098230.jpg
