Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
80208158$D.D. Esper Star Sparrow$$LIGHT$[Warrior/effect]$$$$$10$3000$1500$$$$There can only be 1 "D.D. Esper Star Sparrow" on the field. Your opponent cannot target other monsters you control with effects or for attacks. When an opponent's monster declares a direct attack while this card is in your Graveyard: You can Special Summon this card from your Graveyard in face-up Defense Position. If Summoned this way, banish it when it leaves the field.$$$$$
16796157$Beast-Warrior Puma$$LIGHT$[Beast-Warrior/effect]$$$$$4$1600$1000$$$$You can Tribute this card; add 1 "D.D. Esper Star Sparrow" from your Deck or Graveyard to your hand.$$$$$
16906241$Constellar Alrescha$$LIGHT$[Warrior/effect]$$$$$6$2200$1200$$$$When this card is Normal Summoned: You can Special Summon 1 "Constellar" monster from your hand in face-up Defense Position.$$$$$
42391240$Constellar Antares$$LIGHT$[Machine/effect]$$$$$6$2400$900$$$$When this card is Normal or Special Summoned: You can target 1 "Constellar" monster in your Graveyard; add that target to your hand.$$$$$
79785958$Evilswarm Castor$$DARK$[Warrior/effect]$$$$$4$1750$550$$$$During the turn this card was Normal Summoned, you can Normal Summon 1 "lswarm" monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)$$$$$
5284653$Evilswarm Obliviwisp$$DARK$[Pyro/effect]$$$$$4$450$2050$$$$If this card battles a monster, after damage calculation: Negate the effects of that monster (including in the Graveyard).$$$$$
42679662$Evilswarm Azzathoth$$DARK$[Reptile/effect]$$$$$4$750$1950$$$$FLIP: Target 1 Special Summoned monster on the field; shuffle that target into the Deck.$$$$$
78663366$Evilswarm Thunderbird$$DARK$[Thunder/effect]$$$$$4$1650$1050$$$$During either player's turn, when a card or effect is activated (except during the Damage Step): You can banish this card you control. During the next Standby Phase, return this card banished by this effect to the field, and if you do, it gains 300 ATK. You can only use this effect of "Evilswarm Thunderbird" once per turn.$$$$$
4058065$Evilswarm Salamandra$$DARK$[Dinosaur/effect]$$$$$4$1850$950$$$$Up to twice per turn: You can banish 1 monster from your Graveyard; this card gains 300 ATK until the end of your opponent's turn.$$$$$
31456110$Evilswarm Golem$$DARK$[Rock/effect]$$$$$5$2150$1250$$$$Once per turn: You can target 1 Level 5 or higher non-DARK monster on the field; destroy that target.$$$$$
77841719$Evilswarm Coppelia$$DARK$[Machine/effect]$$$$$6$2450$2050$$$$Cannot be Special Summoned. When this card leaves the field because of your opponent's card (either by battle or by card effect): You can target 1 face-up monster your opponent controls; take control of that target until your next End Phase.$$$$$
4335427$Sophia, Goddess of Rebirth$$DARK$[Fairy/effect]$$$$$11$3600$3400$$$$Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 1 face-up Ritual, Fusion, Synchro, and Xyz Monster from anywhere on the field, and cannot be Special Summoned by other ways. This card's Special Summon cannot be negated. When this card is Special Summoned: Banish all other cards from both players' hands, fields, and Graveyards. Cards and effects cannot be activated in response to this effect's activation.$$$$$
30334522$Gishki Psychelone$$WATER$[Fiend/ritual]$$$$$4$2150$1650$$$$You can Ritual Summon this card with any "Gishki" Ritual Spell Card. Once per turn: You can declare 1 Monster Type and Attribute; look at 1 random card in your opponent's hand, and if it is a monster of the declared Type and Attribute, shuffle it into the Deck. Otherwise, return it to the hand.$$$$$
66729231$Gishki Zielgigas$$WATER$[Aqua/ritual]$$$$$10$3200$0$$$$You can Ritual Summon this card with any "Gishki" Ritual Spell Card. Once per turn: You can pay 1000 Life Points; draw 1 card, and if you do, reveal it, then, if it was a "Gishki" monster, shuffle 1 card from the field into the Deck.$$$$$
3113836$Gem-Knight Seraphinite$$EARTH$[Fairy/fusion]$$$$$5$2300$1400$$1 "Gem-Knight" monster + 1 LIGHT monster$$Must first be Fusion Summoned with the above Fusion Materials. During your Main Phase, you can Normal Summon/Set 1 monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)$$$$$
39512984$Gem-Knight Master Diamond$$EARTH$[Rock/fusion]$$$$$9$2900$2500$$3 "Gem-Knight" monsters$$Must first be Fusion Summoned. This card gains 100 ATK for each "Gem-" monster in your Graveyard. Once per turn: You can banish 1 Level 7 or lower "Gem-Knight" Fusion Monster from your Graveyard; until the End Phase, this card's name becomes that monster's, and replace this effect with that monster's original effects.$$$$$
5014629$Submersible Carrier Aero Shark$$WATER$[Fish/xyz]$$$$$3$1900$1000$$2 Level 3 monsters$$Once per turn: You can detach 1 Xyz Material from this card; inflict 100 damage to your opponent for each of your banished monsters.$$$$$
48928529$Number 83: Galaxy Queen$$DARK$[Spellcaster/xyz]$$$$$1$500$500$$3 Level 1 monsters$$Once per turn: You can detach 1 Xyz Material from this card; until the opponent's next End Phase, the monsters you currently control cannot be destroyed by battle, and if they attack a Defense Position monster, inflict piercing battle damage to your opponent.$$$$$
11411223$Number 10: Illumiknight$$LIGHT$[Warrior/xyz]$$$$$4$2400$2400$$3 Level 4 monsters$$Once per turn: You can detach 1 Xyz Material from this card; send 1 card from your hand to the Graveyard, and if you do, draw 1 card.$$$$$
66506689$Tin Archduke$$EARTH$[Machine/xyz]$$$$$4$2200$1200$$3 Level 4 monsters$$Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 monster your opponent controls; change its battle position. (Flip monsters' effects are not activated.)$$$$$
2091298$Constellar Praesepe$$LIGHT$[Machine/xyz]$$$$$4$2400$800$$2 Level 4 "Constellar" monsters$$Once per turn, during the Damage Step of either player's turn, when a "Constellar" monster you control is attacking or being attacked: You can detach 1 Xyz Material from this card; that monster gains 1000 ATK, until the End Phase.$$$$$
38495396$Constellar Ptolemy M7$$LIGHT$[Machine/xyz]$$$$$6$2700$2000$$2 Level 6 monsters$$You can also Xyz Summon this card by using a "Constellar" Xyz Monster you control as the Xyz Material, other than "Constellar Ptolemy M7". (Xyz Materials attached to that monster also become Xyz Materials on this card.) If Summoned this way, the following effect cannot be activated this turn. Once per turn: You can detach 1 Xyz Material from this card, then target 1 monster on the field or in either player's Graveyard; return that target to the hand.$$$$$
65884091$Evilswarm Thanatos$$DARK$[Fiend/xyz]$$$$$4$2350$1350$$2 Level 4 DARK monsters$$Once per turn (Quick Effect): You can detach 1 material from this card; this face-up card is unaffected by other monster effects this turn.$$$$$
91279700$Evilswarm Ophion$$DARK$[Dragon/xyz]$$$$$4$2550$1650$$2 Level 4 "lswarm" monsters$$While this card has Xyz Material, Level 5 or higher monsters cannot be Special Summoned. Once per turn: You can detach 1 Xyz Material from this card; add 1 "Infestation" Spell/Trap Card from your Deck to your hand.$$$$$
38273745$Evilswarm Ouroboros$$DARK$[Dragon/xyz]$$$$$4$2750$1950$$3 Level 4 monsters$$Once per turn: You can detach 1 Xyz Material from this card, then activate 1 of these effects. Each effect can only be used once while this card is face-up on the field.$$$$$
64662453$Iron Call$$SPELL$$$$$$$$$Normal$$$If you control a Machine monster: Target 1 Level 4 or lower Machine monster in your GY; Special Summon that target, but its effects are negated, also destroy it during the End Phase.$$$$$
74845897$Rekindling$$SPELL$$$$$$$$$Normal$$$Special Summon from your GY as many FIRE monsters as possible with 200 DEF, but banish them during the End Phase of this turn.$$$$$
90156158$Constellar Star Cradle$$SPELL$$$$$$$$$Normal$$$Target 2 "Constellar" monsters in your Graveyard; add those targets to your hand. You cannot conduct your Battle Phase the turn you activate this card.$$$$$
27541267$Infestation Pandemic$$SPELL$$$$$$$$$Quick-Play$$$All face-up "lswarm" monsters you currently control are unaffected by other Spell/Trap effects this turn.$$$$$
53341729$Light-Imprisoning Mirror$$TRAP$$$$$$$$$Continuous$$$Negate all LIGHT monster effects activated on the field or in the Graveyard.$$$$$
99735427$Shadow-Imprisoning Mirror$$TRAP$$$$$$$$$Continuous$$$Negate all DARK monster effects activated on the field or in the Graveyard.$$$$$
63545861$Constellar Meteor$$TRAP$$$$$$$$$Normal$$$During the turn this card is activated, if an opponent's monster battles a "Constellar" monster, and the opponent's monster is not destroyed, shuffle it into the Deck at the end of the Damage Step.$$$$$
90934570$Infestation Terminus$$TRAP$$$$$$$$$Normal$$$Target 1 "lswarm" monster you control and 2 cards your opponent controls; banish the first target, and if you do, return the second targets to the hand.$$$$$
